# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
1335.0; 63.668; 19.65; 0.06708; -0.47413; -1.59231; -0.10402
1338.0; 63.815; 19.59; 0.06559; -0.44223; -1.68998; -0.09697
1341.0; 63.962; 19.58; 0.05785; -0.39401; -1.77561; -0.08641
1344.0; 64.108; 19.62; 0.04286; -0.34312; -1.85591; -0.07030
1347.0; 64.254; 19.80; 0.02450; -0.32038; -1.93218; -0.04946
1350.0; 64.398; 20.05; 0.01400; -0.37266; -1.99504; -0.03224
1353.0; 64.540; 20.27; 0.01396; -0.43382; -2.03633; -0.02468
1356.0; 64.681; 20.43; 0.01865; -0.46051; -2.05810; -0.02339
1359.0; 64.821; 20.55; 0.02364; -0.46054; -2.06446; -0.02344
1362.0; 64.960; 20.65; 0.02698; -0.44744; -2.05677; -0.02172
1365.0; 65.099; 20.75; 0.02813; -0.43045; -2.03333; -0.01679
1368.0; 65.237; 20.86; 0.02748; -0.41547; -1.99052; -0.00878
1371.0; 65.374; 21.00; 0.02592; -0.40544; -1.92564; 0.00048
1374.0; 65.511; 21.14; 0.02434; -0.39971; -1.83943; 0.00881
1377.0; 65.647; 21.31; 0.02319; -0.39468; -1.73562; 0.01508
1380.0; 65.783; 21.49; 0.02235; -0.38675; -1.61896; 0.01937
1383.0; 65.918; 21.69; 0.02145; -0.37455; -1.49387; 0.02230
1386.0; 66.052; 21.92; 0.02027; -0.35886; -1.36376; 0.02463
1389.0; 66.186; 22.17; 0.01881; -0.34135; -1.23041; 0.02695
1392.0; 66.318; 22.46; 0.01725; -0.32334; -1.09375; 0.02969
1395.0; 66.449; 22.78; 0.01579; -0.30536; -0.95202; 0.03318
1398.0; 66.578; 23.12; 0.01452; -0.28743; -0.80227; 0.03756
1401.0; 66.705; 23.50; 0.01345; -0.26950; -0.64130; 0.04268
1404.0; 66.831; 23.89; 0.01254; -0.25171; -0.46702; 0.04807
1407.0; 66.956; 24.31; 0.01175; -0.23428; -0.27886; 0.05327
1410.0; 67.078; 24.75; 0.01106; -0.21747; -0.07748; 0.05801
1413.0; 67.198; 25.20; 0.01044; -0.20147; 0.13573; 0.06211
1416.0; 67.317; 25.66; 0.00988; -0.18641; 0.35874; 0.06539
1419.0; 67.434; 26.14; 0.00938; -0.17235; 0.58897; 0.06770
1422.0; 67.548; 26.62; 0.00892; -0.15931; 0.82334; 0.06892
1425.0; 67.661; 27.11; 0.00849; -0.14730; 1.05835; 0.06890
1428.0; 67.771; 27.61; 0.00810; -0.13629; 1.29021; 0.06765
1431.0; 67.880; 28.11; 0.00773; -0.12621; 1.51563; 0.06551
1434.0; 67.987; 28.60; 0.00739; -0.11701; 1.73295; 0.06314
1437.0; 68.091; 29.10; 0.00707; -0.10861; 1.94245; 0.06102
1440.0; 68.194; 29.60; 0.00677; -0.10097; 2.14512; 0.05923
1443.0; 68.296; 30.10; 0.00649; -0.09404; 2.34184; 0.05766
1446.0; 68.395; 30.60; 0.00623; -0.08781; 2.53319; 0.05622
1449.0; 68.493; 31.09; 0.00598; -0.08227; 2.71945; 0.05481
1452.0; 68.590; 31.58; 0.00576; -0.07750; 2.90061; 0.05333
1455.0; 68.685; 32.07; 0.00558; -0.07364; 3.07638; 0.05169
1458.0; 68.778; 32.55; 0.00543; -0.07094; 3.24621; 0.04977
1461.0; 68.870; 33.03; 0.00535; -0.06976; 3.40919; 0.04742
1464.0; 68.961; 33.49; 0.00537; -0.07046; 3.56403; 0.04449
1467.0; 69.050; 33.95; 0.00550; -0.07312; 3.70902; 0.04080
1470.0; 69.138; 34.40; 0.00576; -0.07700; 3.84205; 0.03622
1473.0; 69.225; 34.84; 0.00612; -0.07986; 3.96079; 0.03075
1476.0; 69.311; 35.27; 0.00642; -0.07792; 4.06308; 0.02470
1479.0; 69.396; 35.59; 0.00657; -0.07042; 4.14751; 0.01848
1482.0; 69.480; 35.65; 0.00655; -0.05819; 4.21373; 0.01248
1485.0; 69.564; 35.35; 0.00624; -0.04130; 4.26225; 0.00704
1488.0; 69.650; 34.71; 0.00548; -0.02217; 4.29404; 0.00243
1491.0; 69.737; 33.78; 0.00423; -0.00422; 4.31039; -0.00117
1494.0; 69.827; 32.74; 0.00258; 0.01035; 4.31345; -0.00339
1497.0; 69.920; 31.66; 0.00097; 0.01282; 4.30681; -0.00427
1500.0; 70.016; 30.55; 0.00006; 0.00362; 4.29475; -0.00452
1503.0; 70.116; 29.41; -0.00008; -0.00040; 4.28135; -0.00419
1506.0; 70.220; 28.24; -0.00002; -0.00038; 4.27026; -0.00290
1509.0; 70.329; 27.04; 0.00019; -0.01131; 4.26401; -0.00126
1512.0; 70.443; 25.82; 0.00111; -0.04019; 4.26233; -0.00112
1515.0; 70.563; 24.63; 0.00304; -0.08702; 4.25975; -0.00493
1518.0; 70.689; 23.50; 0.00584; -0.15004; 4.24322; -0.01534
1521.0; 70.821; 22.48; 0.00921; -0.22324; 4.19150; -0.03443
1524.0; 70.959; 21.57; 0.01295; -0.29665; 4.07917; -0.06178
1527.0; 71.104; 20.79; 0.01708; -0.36034; 3.88585; -0.09359
1530.0; 71.257; 20.09; 0.02152; -0.40788; 3.60420; -0.12497
1533.0; 71.416; 19.44; 0.02593; -0.44004; 3.23983; -0.15255
1536.0; 71.583; 18.83; 0.02986; -0.46315; 2.80628; -0.17481
1539.0; 71.756; 18.25; 0.03322; -0.48504; 2.32048; -0.19171
1542.0; 71.934; 17.70; 0.03643; -0.51117; 1.79960; -0.20381
1545.0; 72.116; 17.20; 0.04045; -0.54127; 1.26332; -0.21006
1548.0; 72.302; 16.72; 0.04660; -0.57345; 0.74227; -0.20688
1551.0; 72.490; 16.25; 0.05672; -0.61340; 0.28318; -0.19055
1554.0; 72.678; 16.02; 0.06860; -0.62405; -0.06034; -0.15854
1557.0; 72.864; 16.07; 0.07610; -0.57677; -0.24903; -0.11215
1560.0; 73.048; 16.10; 0.07563; -0.53380; -0.27872; -0.06156
1563.0; 73.232; 16.11; 0.06668; -0.48646; -0.17811; -0.01543
1566.0; 73.418; 16.12; 0.04691; -0.42586; 0.01434; 0.02856
1569.0; 73.604; 16.36; 0.01615; -0.35819; 0.26987; 0.07818
1572.0; 73.789; 16.77; 0.00048; -0.42075; 0.59596; 0.11897
1575.0; 73.972; 17.14; 0.00143; -0.46544; 0.99621; 0.13494
1578.0; 74.153; 17.50; 0.00452; -0.44986; 1.42640; 0.13198
1581.0; 74.329; 17.90; 0.00527; -0.40305; 1.83405; 0.11742
1584.0; 74.500; 18.39; 0.00437; -0.34455; 2.18300; 0.09662
1587.0; 74.665; 18.97; 0.00343; -0.28408; 2.45869; 0.07430
1590.0; 74.823; 19.62; 0.00294; -0.22410; 2.66679; 0.05563
1593.0; 74.976; 20.32; 0.00267; -0.16610; 2.82645; 0.04385
1596.0; 75.123; 21.07; 0.00239; -0.11219; 2.95981; 0.03894
1599.0; 75.264; 21.84; 0.00196; -0.06458; 3.08518; 0.03933
1602.0; 75.401; 22.62; 0.00137; -0.02618; 3.21502; 0.04290
1605.0; 75.532; 23.39; 0.00070; -0.00187; 3.35412; 0.04676
1608.0; 75.658; 24.14; 0.00017; 0.00282; 3.49821; 0.04763
1611.0; 75.780; 24.86; -0.00001; 0.00014; 3.63616; 0.04379
1614.0; 75.898; 25.56; -0.00001; -0.00008; 3.75457; 0.03522
1617.0; 76.012; 26.24; 0.00000; -0.00001; 3.84108; 0.02283
1620.0; 76.123; 26.90; 0.00000; 0.00000; 3.88733; 0.00843
1623.0; 76.231; 27.54; 0.00000; 0.00000; 3.89055; -0.00616
1626.0; 76.337; 28.17; -0.00000; 0.00000; 3.85160; -0.02015
1629.0; 76.441; 28.78; -0.00000; 0.00000; 3.77242; -0.03340
1632.0; 76.542; 29.39; -0.00000; 0.00000; 3.65505; -0.04591
1635.0; 76.642; 29.98; -0.00000; 0.00000; 3.50156; -0.05765
1638.0; 76.740; 30.56; -0.00000; 0.00000; 3.31403; -0.06864
1641.0; 76.837; 31.13; -0.00000; 0.00000; 3.09459; -0.07887
1644.0; 76.932; 31.70; -0.00000; 0.00000; 2.84538; -0.08832
1647.0; 77.025; 32.25; -0.00000; 0.00000; 2.56858; -0.09701
1650.0; 77.117; 32.80; -0.00000; 0.00000; 2.26639; -0.10492
1653.0; 77.208; 33.34; -0.00000; 0.00000; 1.94106; -0.11207
1656.0; 77.298; 33.86; -0.00028; 0.02176; 1.59615; -0.11727
1659.0; 77.386; 34.36; -0.00123; 0.03728; 1.23669; -0.12011
1662.0; 77.473; 34.85; -0.00227; 0.04664; 0.86789; -0.12120
1665.0; 77.559; 35.32; -0.00319; 0.05464; 0.49477; -0.12083
1668.0; 77.644; 35.77; -0.00401; 0.06220; 0.12198; -0.11911
1671.0; 77.728; 36.21; -0.00479; 0.06907; -0.24615; -0.11608
1674.0; 77.811; 36.64; -0.00553; 0.07522; -0.60558; -0.11183
1677.0; 77.893; 37.05; -0.00624; 0.08078; -0.95254; -0.10646
1680.0; 77.974; 37.45; -0.00691; 0.08584; -1.28376; -0.10017
1683.0; 78.054; 37.84; -0.00755; 0.09046; -1.59686; -0.09328
1686.0; 78.134; 38.22; -0.00816; 0.09470; -1.89042; -0.08604
1689.0; 78.212; 38.58; -0.00875; 0.09859; -2.16350; -0.07855
1692.0; 78.290; 38.94; -0.00929; 0.10047; -2.41543; -0.07092
1695.0; 78.367; 39.29; -0.00971; 0.09902; -2.64584; -0.06336
1698.0; 78.443; 39.63; -0.00990; 0.09503; -2.85476; -0.05609
1701.0; 78.518; 39.96; -0.00986; 0.08962; -3.04262; -0.04924
1704.0; 78.593; 40.28; -0.00964; 0.08370; -3.21017; -0.04287
1707.0; 78.668; 40.60; -0.00928; 0.07784; -3.35839; -0.03698
1710.0; 78.741; 40.91; -0.00884; 0.07232; -3.48841; -0.03156
1713.0; 78.814; 41.21; -0.00837; 0.06722; -3.60140; -0.02656
1716.0; 78.887; 41.51; -0.00790; 0.06255; -3.69852; -0.02193
1719.0; 78.959; 41.80; -0.00744; 0.05828; -3.78088; -0.01766
1722.0; 79.031; 42.09; -0.00700; 0.05436; -3.84953; -0.01370
1725.0; 79.102; 42.37; -0.00659; 0.05073; -3.90545; -0.01002
1728.0; 79.172; 42.64; -0.00620; 0.04738; -3.94952; -0.00661
1731.0; 79.242; 42.91; -0.00584; 0.04426; -3.98258; -0.00343
1734.0; 79.312; 43.18; -0.00549; 0.04136; -4.00540; -0.00048
1737.0; 79.381; 43.44; -0.00517; 0.03867; -4.01866; 0.00227
1740.0; 79.450; 43.69; -0.00487; 0.03616; -4.02303; 0.00484
1743.0; 79.519; 43.94; -0.00459; 0.03382; -4.01910; 0.00723
1746.0; 79.587; 44.19; -0.00433; 0.03165; -4.00743; 0.00945
1749.0; 79.654; 44.43; -0.00408; 0.02963; -3.98855; 0.01152
1752.0; 79.722; 44.67; -0.00385; 0.02774; -3.96295; 0.01345
1755.0; 79.789; 44.90; -0.00363; 0.02598; -3.93109; 0.01524
1758.0; 79.855; 45.13; -0.00342; 0.02434; -3.89339; 0.01692
1761.0; 79.922; 45.36; -0.00323; 0.02282; -3.85024; 0.01848
1764.0; 79.988; 45.58; -0.00304; 0.02139; -3.80201; 0.01993
1767.0; 80.053; 45.80; -0.00287; 0.02006; -3.74902; 0.02129
1770.0; 80.119; 46.01; -0.00271; 0.01882; -3.69160; 0.02256
1773.0; 80.184; 46.22; -0.00256; 0.01766; -3.63004; 0.02374
1776.0; 80.249; 46.43; -0.00242; 0.01658; -3.56460; 0.02484
1779.0; 80.313; 46.63; -0.00228; 0.01557; -3.49555; 0.02587
1782.0; 80.377; 46.84; -0.00215; 0.01462; -3.42311; 0.02684
1785.0; 80.441; 47.04; -0.00204; 0.01373; -3.34750; 0.02774
1788.0; 80.505; 47.23; -0.00192; 0.01290; -3.26893; 0.02858
1791.0; 80.568; 47.42; -0.00182; 0.01213; -3.18759; 0.02937
1794.0; 80.631; 47.61; -0.00172; 0.01140; -3.10366; 0.03010
1797.0; 80.694; 47.80; -0.00162; 0.01072; -3.01730; 0.03079
1800.0; 80.757; 47.99; -0.00153; 0.01007; -2.92867; 0.03143
1803.0; 80.819; 48.17; -0.00145; 0.00947; -2.83791; 0.03203
1806.0; 80.882; 48.35; -0.00137; 0.00891; -2.74516; 0.03259
1809.0; 80.944; 48.52; -0.00129; 0.00838; -2.65055; 0.03312
1812.0; 81.005; 48.70; -0.00122; 0.00788; -2.55420; 0.03361
1815.0; 81.067; 48.87; -0.00116; 0.00741; -2.45621; 0.03407
1818.0; 81.128; 49.04; -0.00109; 0.00697; -2.35669; 0.03450
1821.0; 81.189; 49.21; -0.00103; 0.00656; -2.25575; 0.03490
1824.0; 81.250; 49.37; -0.00098; 0.00617; -2.15346; 0.03527
1827.0; 81.311; 49.53; -0.00092; 0.00580; -2.04993; 0.03562
1830.0; 81.371; 49.69; -0.00087; 0.00545; -1.94523; 0.03594
1833.0; 81.432; 49.85; -0.00082; 0.00513; -1.83944; 0.03625
1836.0; 81.492; 50.01; -0.00078; 0.00482; -1.73262; 0.03653
1839.0; 81.552; 50.16; -0.00073; 0.00453; -1.62486; 0.03679
1842.0; 81.612; 50.32; -0.00069; 0.00425; -1.51620; 0.03704
1845.0; 81.671; 50.47; -0.00065; 0.00399; -1.40672; 0.03726
1848.0; 81.731; 50.62; -0.00062; 0.00374; -1.29647; 0.03747
1851.0; 81.790; 50.76; -0.00058; 0.00351; -1.18550; 0.03767
1854.0; 81.849; 50.91; -0.00055; 0.00328; -1.07387; 0.03785
1857.0; 81.908; 51.05; -0.00052; 0.00307; -0.96163; 0.03801
1860.0; 81.966; 51.19; -0.00049; 0.00286; -0.84881; 0.03816
1863.0; 82.025; 51.33; -0.00046; 0.00266; -0.73547; 0.03830
1866.0; 82.083; 51.47; -0.00043; 0.00248; -0.62164; 0.03843
1869.0; 82.142; 51.60; -0.00040; 0.00229; -0.50737; 0.03854
1872.0; 82.200; 51.74; -0.00037; 0.00211; -0.39270; 0.03864
1875.0; 82.258; 51.87; -0.00035; 0.00194; -0.27766; 0.03873
1878.0; 82.316; 52.00; -0.00032; 0.00177; -0.16228; 0.03881
1881.0; 82.373; 52.13; -0.00030; 0.00160; -0.04661; 0.03888
1884.0; 82.431; 52.26; -0.00028; 0.00142; 0.06932; 0.03894
1887.0; 82.488; 52.39; -0.00025; 0.00125; 0.18549; 0.03899
1890.0; 82.545; 52.51; -0.00023; 0.00107; 0.30184; 0.03902
1893.0; 82.602; 52.64; -0.00020; 0.00088; 0.41837; 0.03905
1896.0; 82.659; 52.76; -0.00018; 0.00069; 0.53502; 0.03906
1899.0; 82.716; 52.88; -0.00015; 0.00048; 0.65176; 0.03906
1902.0; 82.773; 53.00; -0.00013; 0.00027; 0.76857; 0.03905
1905.0; 82.830; 53.12; -0.00010; 0.00004; 0.88540; 0.03902
1908.0; 82.886; 53.24; -0.00007; -0.00021; 1.00221; 0.03898
1911.0; 82.942; 53.35; -0.00004; -0.00046; 1.11897; 0.03893
1914.0; 82.999; 53.47; -0.00001; -0.00073; 1.23564; 0.03886
1917.0; 83.055; 53.58; 0.00003; -0.00102; 1.35217; 0.03877
1920.0; 83.111; 53.69; 0.00007; -0.00133; 1.46852; 0.03866
1923.0; 83.166; 53.80; 0.00011; -0.00166; 1.58465; 0.03854
1926.0; 83.222; 53.91; 0.00015; -0.00203; 1.70049; 0.03840
1929.0; 83.278; 54.02; 0.00019; -0.00245; 1.81600; 0.03823
1932.0; 83.333; 54.13; 0.00024; -0.00294; 1.93111; 0.03804
1935.0; 83.389; 54.23; 0.00030; -0.00353; 2.04577; 0.03781
1938.0; 83.444; 54.34; 0.00037; -0.00426; 2.15989; 0.03755
1941.0; 83.499; 54.44; 0.00045; -0.00519; 2.27338; 0.03725
1944.0; 83.554; 54.54; 0.00055; -0.00637; 2.38612; 0.03688
1947.0; 83.609; 54.64; 0.00067; -0.00787; 2.49799; 0.03644
1950.0; 83.664; 54.75; 0.00083; -0.00978; 2.60881; 0.03590
1953.0; 83.719; 54.84; 0.00102; -0.01215; 2.71837; 0.03525
1956.0; 83.774; 54.94; 0.00127; -0.01508; 2.82641; 0.03445
1959.0; 83.828; 55.04; 0.00157; -0.01859; 2.93260; 0.03347
1962.0; 83.883; 55.14; 0.00194; -0.02272; 3.03655; 0.03228
1965.0; 83.937; 55.23; 0.00238; -0.02741; 3.13780; 0.03085
1968.0; 83.991; 55.33; 0.00290; -0.03257; 3.23580; 0.02916
1971.0; 84.046; 55.42; 0.00349; -0.03800; 3.32996; 0.02718
1974.0; 84.100; 55.51; 0.00414; -0.04342; 3.41959; 0.02491
1977.0; 84.154; 55.60; 0.00483; -0.04841; 3.50401; 0.02236
1980.0; 84.208; 55.69; 0.00553; -0.05251; 3.58252; 0.01957
1983.0; 84.262; 55.78; 0.00620; -0.05516; 3.65444; 0.01661
1986.0; 84.315; 55.87; 0.00679; -0.05580; 3.71923; 0.01356
1989.0; 84.369; 55.95; 0.00722; -0.05392; 3.77646; 0.01057
