# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
1731.0; 79.242; 3.847; 2.099; 4.382
1734.0; 79.312; 3.797; 1.976; 4.281
1737.0; 79.381; 3.749; 1.860; 4.185
1740.0; 79.450; 3.702; 1.752; 4.095
1743.0; 79.519; 3.656; 1.650; 4.011
1746.0; 79.587; 3.611; 1.554; 3.931
1749.0; 79.654; 3.567; 1.464; 3.856
1752.0; 79.722; 3.524; 1.379; 3.784
1755.0; 79.789; 3.481; 1.300; 3.716
1758.0; 79.855; 3.440; 1.226; 3.652
1761.0; 79.922; 3.400; 1.156; 3.591
1764.0; 79.988; 3.360; 1.090; 3.532
1767.0; 80.053; 3.321; 1.028; 3.476
1770.0; 80.119; 3.283; 0.970; 3.423
1773.0; 80.184; 3.245; 0.915; 3.372
1776.0; 80.249; 3.209; 0.864; 3.323
1779.0; 80.313; 3.173; 0.815; 3.276
1782.0; 80.377; 3.137; 0.770; 3.230
1785.0; 80.441; 3.103; 0.727; 3.187
1788.0; 80.505; 3.069; 0.686; 3.144
1791.0; 80.568; 3.035; 0.648; 3.104
1794.0; 80.631; 3.002; 0.612; 3.064
1797.0; 80.694; 2.970; 0.578; 3.026
1800.0; 80.757; 2.938; 0.546; 2.989
1803.0; 80.819; 2.907; 0.516; 2.953
1806.0; 80.882; 2.877; 0.488; 2.918
1809.0; 80.944; 2.846; 0.461; 2.883
1812.0; 81.005; 2.817; 0.436; 2.850
1815.0; 81.067; 2.788; 0.412; 2.818
1818.0; 81.128; 2.759; 0.389; 2.786
1821.0; 81.189; 2.731; 0.368; 2.755
1824.0; 81.250; 2.703; 0.347; 2.725
1827.0; 81.311; 2.675; 0.328; 2.695
1830.0; 81.371; 2.648; 0.310; 2.667
1833.0; 81.432; 2.622; 0.293; 2.638
1836.0; 81.492; 2.596; 0.277; 2.610
1839.0; 81.552; 2.570; 0.261; 2.583
1842.0; 81.612; 2.545; 0.246; 2.557
1845.0; 81.671; 2.520; 0.232; 2.530
1848.0; 81.731; 2.495; 0.219; 2.505
1851.0; 81.790; 2.471; 0.206; 2.479
1854.0; 81.849; 2.447; 0.194; 2.455
1857.0; 81.908; 2.423; 0.183; 2.430
1860.0; 81.966; 2.400; 0.172; 2.406
1863.0; 82.025; 2.377; 0.161; 2.383
1866.0; 82.083; 2.354; 0.151; 2.359
1869.0; 82.142; 2.332; 0.141; 2.336
1872.0; 82.200; 2.310; 0.132; 2.314
1875.0; 82.258; 2.288; 0.123; 2.292
1878.0; 82.316; 2.267; 0.114; 2.270
1881.0; 82.373; 2.246; 0.105; 2.248
1884.0; 82.431; 2.225; 0.096; 2.227
1887.0; 82.488; 2.204; 0.087; 2.206
1890.0; 82.545; 2.184; 0.078; 2.185
1893.0; 82.602; 2.164; 0.069; 2.165
1896.0; 82.659; 2.144; 0.060; 2.145
1899.0; 82.716; 2.125; 0.050; 2.125
1902.0; 82.773; 2.105; 0.040; 2.106
1905.0; 82.830; 2.086; 0.029; 2.086
1908.0; 82.886; 2.067; 0.018; 2.067
1911.0; 82.942; 2.049; 0.006; 2.049
1914.0; 82.999; 2.030; -0.007; 2.030
1917.0; 83.055; 2.012; -0.020; 2.012
1920.0; 83.111; 1.994; -0.034; 1.995
1923.0; 83.166; 1.976; -0.050; 1.977
1926.0; 83.222; 1.959; -0.066; 1.960
1929.0; 83.278; 1.942; -0.084; 1.943
1932.0; 83.333; 1.925; -0.105; 1.927
1935.0; 83.389; 1.908; -0.129; 1.912
1938.0; 83.444; 1.891; -0.158; 1.897
1941.0; 83.499; 1.874; -0.192; 1.884
1944.0; 83.554; 1.858; -0.235; 1.873
1947.0; 83.609; 1.842; -0.290; 1.864
1950.0; 83.664; 1.826; -0.358; 1.860
1953.0; 83.719; 1.810; -0.443; 1.863
1956.0; 83.774; 1.794; -0.548; 1.876
1959.0; 83.828; 1.779; -0.678; 1.903
1962.0; 83.883; 1.763; -0.833; 1.950
1965.0; 83.937; 1.748; -1.015; 2.021
1968.0; 83.991; 1.732; -1.223; 2.121
1971.0; 84.046; 1.717; -1.454; 2.250
1974.0; 84.100; 1.702; -1.701; 2.406
1977.0; 84.154; 1.687; -1.952; 2.579
1980.0; 84.208; 1.672; -2.193; 2.757
1983.0; 84.262; 1.657; -2.405; 2.921
1986.0; 84.315; 1.643; -2.569; 3.050
1989.0; 84.369; 1.630; -2.662; 3.121
